EventType,Rate
"D",3243,0.0
"D",3244,0.0
"D",3245,0.0
"D",3246,0.0
"D",3247,0.0
"D",3248,0.0
"D",3249,0.0
"D",3250,0.0
"D",3251,0.0
"D",3252,0.0
"D",3253,0.0
"D",3254,0.0
"D",3255,0.0
"D",3256,0.0
"D",3257,0.0
"D",3258,0.0
"D",3259,0.0
"D",3260,0.0
"D",3261,0.0
"D",3262,0.0
"D",3263,0.0
"D",3264,0.0
"D",3265,0.0
"D",3266,0.0
"D",3267,0.0
"D",3268,0.0
"D",3269,0.0
"D",3270,0.0
"D",3271,0.0
"D",3272,0.0
"D",3273,0.0
"D",3274,0.0
"D",3275,0.0
"D",3276,0.0
"D",3277,0.0
"D",3278,0.0
"D",3279,0.0
"D",3280,0.0
"D",3281,0.0
"D",3282,0.0
"D",3283,0.0
"D",3284,0.0
"D",3285,0.0
"D",3286,0.0
"D",3287,0.0
"D",3288,0.0
"D",3289,0.0
"D",3290,0.0
"D",3291,0.0
"D",3292,0.0
"D",3293,0.0
"D",3294,0.0
"D",3295,0.0
"D",3296,0.0
"D",3297,0.0
"D",3298,0.0
"D",3299,0.0
"D",3300,0.0
"D",3301,0.0
"D",3302,0.0
"D",3303,0.0
"D",3304,0.0
"D",3305,0.0
"D",3306,0.0
"D",3307,0.0
"D",3308,0.0
"D",3309,0.0
"D",3310,0.0
"D",3311,0.0
"D",3312,0.0
"D",3313,0.0
"D",3314,0.0
"D",3315,0.0
"D",3316,0.0
"D",3317,0.0
"D",3318,0.0
"D",3319,0.0
"D",3320,0.0
"D",3321,0.0
"D",3322,0.0
"D",3323,0.0
"D",3324,0.0
"D",3325,0.0
"D",3326,0.0
"D",3327,0.0
"D",3328,0.0
"D",3329,0.0
"D",3330,0.0
"D",3331,0.0
"D",3332,0.0
"D",3333,0.0
"D",3334,0.0
"D",3335,0.0
"D",3336,0.0
"D",3337,0.0
"D",3338,0.0
"D",3339,0.0
"D",3340,0.0
"D",3341,0.0
"D",3343,0.0
"D",3344,0.0
"D",3345,0.0
"D",3346,0.0
"D",3347,0.0
"D",3348,0.0
"D",3349,0.0
"D",3350,0.0
"D",3351,0.0
"D",3352,0.0
"D",3353,0.0
"D",3354,0.0
"D",3355,0.0
"D",3356,0.0
"D",3357,0.0
"D",3358,0.0
"D",3359,0.0
"D",3360,0.0
"D",3361,0.0
"D",3362,0.0
"D",3363,0.0
"D",3364,0.0
"D",3365,0.0
"D",3366,0.0
"D",3367,0.0
"D",3368,0.0
"D",3369,0.0
"D",3370,0.0
"D",3371,0.0
"D",3372,0.0
"D",3373,0.0
"D",3374,0.0
"D",3375,0.0
"D",3376,0.0
"D",3377,0.0
"D",3378,0.0
"D",3379,0.0
"D",3380,0.0
"D",3381,0.0
"D",3382,0.0
"D",3383,0.0
"D",3384,0.0
"D",3385,0.0
"D",3386,0.0
"D",3387,0.0
"D",3388,0.0
"D",3389,0.0
"D",3390,0.0
"D",3391,0.0
"D",3392,0.0
"D",3393,0.0
"D",3394,0.0
"D",3395,0.0
"D",3396,0.0
"D",3397,0.0
"D",3398,0.0
"D",3399,0.0
"D",3400,0.0
"D",3401,0.0
"D",3402,0.0
"D",3403,0.0
"D",3404,0.0
"D",3405,0.0
"D",3406,0.0
"D",3407,0.0
"D",3408,0.0
"D",3409,0.0
"D",3410,0.0
"D",3411,0.0
"D",3412,0.0
"D",3413,0.0
"D",3414,0.0
"D",3415,0.0
"D",3416,0.0
"D",3417,0.0
"D",3418,0.0
"D",3419,0.0
"D",3420,2.7
"D",3421,11.7
"D",3422,13.5
"D",3423,17.1
"D",3424,19.799999999999997
"D",3425,23.4
"D",3426,23.4
"D",3427,28.799999999999997
"D",3428,33.3
"D",3429,39.599999999999994
"D",3430,40.5
"D",3431,34.2
"D",3432,35.099999999999994
"D",3433,34.2
"D",3434,37.8
"D",3435,39.599999999999994
"D",3436,43.2
"D",3437,45.0
"D",3438,46.8
"D",3439,45.900000000000006
"D",3440,44.099999999999994
"D",3441,44.099999999999994
"D",3442,42.3
"D",3443,45.0
"D",3444,40.5
"D",3445,37.8
"D",3446,42.3
"D",3447,39.599999999999994
"D",3448,35.099999999999994
"D",3449,33.3
"D",3450,36.900000000000006
"D",3451,36.0
"D",3452,37.8
"D",3453,33.3
"D",3454,33.3
"D",3455,34.2
"D",3456,31.5
"D",3457,31.5
"D",3458,32.400000000000006
"D",3459,33.3
"D",3460,33.3
"D",3461,36.0
"D",3462,38.7
"D",3463,43.2
"D",3464,47.7
"D",3465,45.900000000000006
"D",3466,47.7
"D",3467,49.5
"D",3468,47.7
"D",3469,45.0
"D",3470,45.0
"D",3471,45.0
"D",3472,45.0
"D",3473,42.3
"D",3474,36.0
"D",3475,36.900000000000006
"D",3476,32.400000000000006
"D",3477,31.5
"D",3478,36.900000000000006
"D",3479,37.8
"D",3480,35.099999999999994
"D",3481,34.2
"D",3482,36.0
"D",3483,38.7
"D",3484,43.2
"D",3485,43.2
"D",3486,42.3
"D",3487,40.5
"D",3488,41.400000000000006
"D",3489,40.5
"D",3490,43.2
"D",3491,45.900000000000006
"D",3492,43.2
"D",3493,41.400000000000006
"D",3494,40.5
"D",3495,41.400000000000006
"D",3496,41.400000000000006
"D",3497,42.3
"D",3498,36.900000000000006
"D",3499,37.8
"D",3500,38.7
"D",3501,35.099999999999994
"D",3502,36.900000000000006
"D",3503,38.7
"D",3504,41.400000000000006
"D",3505,43.2
"D",3506,45.900000000000006
"D",3507,49.5
"D",3508,53.099999999999994
"D",3509,55.800000000000004
"D",3511,54.599999999999994
"D",3512,52.800000000000004
"D",3513,50.699999999999996
"D",3514,47.400000000000006
"D",3515,44.400000000000006
"D",3516,44.7
"D",3517,40.2
"D",3518,39.0
"D",3519,36.900000000000006
"D",3520,35.099999999999994
"D",3521,33.3
"D",3522,30.299999999999997
"D",3523,36.0
"D",3524,38.7
"D",3525,37.8
"D",3526,37.2
"D",3527,36.0
"D",3528,36.0
"D",3529,37.8
"D",3530,34.2
"D",3531,31.5
"D",3532,29.700000000000003
"D",3533,30.599999999999998
"D",3534,30.599999999999998
"D",3535,33.3
"D",3536,36.0
"D",3537,37.8
"D",3538,33.3
"D",3539,32.400000000000006
"D",3540,33.3
"D",3541,38.7
"D",3542,39.599999999999994
"D",3543,36.0
"D",3544,34.2
"D",3545,33.3
"D",3546,27.900000000000002
"D",3547,28.799999999999997
"D",3548,32.400000000000006
"D",3549,31.5
"D",3550,34.2
"D",3551,31.5
"D",3552,33.3
"D",3553,37.8
"D",3554,35.099999999999994
"D",3555,32.400000000000006
"D",3556,38.7
"D",3557,36.0
"D",3558,35.099999999999994
"D",3559,37.8
"D",3560,37.8
"D",3561,36.900000000000006
"D",3562,35.099999999999994
"D",3563,32.400000000000006
"D",3564,31.5
"D",3565,35.099999999999994
"D",3566,30.599999999999998
"D",3567,29.700000000000003
"D",3568,32.400000000000006
"D",3569,32.400000000000006
"D",3570,31.5
"D",3571,35.099999999999994
"D",3572,36.900000000000006
"D",3573,38.7
"D",3574,43.2
"D",3575,42.3
"D",3576,45.0
"D",3577,47.7
"D",3578,46.8
"D",3579,47.7
"D",3580,47.7
"D",3581,44.099999999999994
"D",3582,42.3
"D",3583,42.3
"D",3584,44.099999999999994
"D",3585,42.3
"D",3586,42.3
"D",3587,41.400000000000006
"D",3588,39.599999999999994
"D",3589,37.8
"D",3590,37.8
"D",3591,39.599999999999994
"D",3592,40.5
"D",3593,38.7
"D",3594,36.0
"D",3595,36.0
"D",3596,38.7
"D",3597,38.7
"D",3598,38.7
"D",3599,37.8
"D",3600,36.0
"D",3601,35.099999999999994
"D",3602,36.900000000000006
"D",3603,38.7
"D",3604,38.7
"D",3605,40.5
"D",3606,38.7
"D",3607,39.599999999999994
"D",3608,43.2
"D",3609,40.5
"D",3610,42.3
"D",3611,42.3
"D",3612,40.5
"D",3613,40.5
"D",3614,41.400000000000006
"D",3615,40.5
"D",3616,39.599999999999994
"D",3617,38.7
"D",3618,34.2
"D",3619,37.8
"D",3620,37.8
"D",3621,36.900000000000006
"D",3622,33.3
"D",3623,30.599999999999998
"D",3624,31.5
"D",3625,29.700000000000003
"D",3626,26.099999999999998
"D",3627,28.799999999999997
"D",3628,33.3
"D",3629,31.5
"D",3630,32.400000000000006
"D",3631,36.0
"D",3632,37.8
"D",3633,39.599999999999994
"D",3634,36.900000000000006
"D",3635,36.900000000000006
"D",3636,39.599999999999994
"D",3637,36.900000000000006
"D",3638,35.099999999999994
"D",3639,37.8
"D",3640,37.8
"D",3641,38.7
"D",3642,40.5
"D",3643,40.5
"D",3644,42.3
"D",3646,42.599999999999994
"D",3647,44.400000000000006
"D",3648,47.099999999999994
"D",3649,44.7
"D",3650,51.300000000000004
"D",3651,45.900000000000006
"D",3652,45.0
"D",3653,49.199999999999996
"D",3654,48.599999999999994
"D",3655,43.2
"D",3656,44.099999999999994
"D",3657,48.599999999999994
"D",3658,45.900000000000006
"D",3659,46.8
"D",3660,45.900000000000006
"D",3661,45.900000000000006
"D",3662,46.8
"D",3663,42.3
"D",3664,40.5
"D",3665,43.2
"D",3666,43.2
"D",3667,39.599999999999994
"D",3668,39.599999999999994
"D",3669,35.099999999999994
"D",3670,36.0
"D",3671,35.099999999999994
"D",3672,33.3
"D",3673,32.400000000000006
"D",3674,31.5
"D",3675,28.799999999999997
"D",3676,28.799999999999997
"D",3677,29.700000000000003
"D",3678,27.900000000000002
"D",3679,24.299999999999997
"D",3680,25.200000000000003
"D",3681,26.099999999999998
"D",3682,26.099999999999998
"D",3683,25.200000000000003
"D",3684,25.200000000000003
"D",3685,30.599999999999998
"D",3686,32.400000000000006
"D",3687,35.099999999999994
"D",3688,35.099999999999994
"D",3689,41.400000000000006
"D",3690,37.8
"D",3691,36.900000000000006
"D",3692,39.599999999999994
"D",3693,40.5
"D",3694,42.3
"D",3695,44.099999999999994
"D",3696,40.5
"D",3697,36.0
"D",3698,36.0
"D",3699,34.2
"D",3700,34.2
"D",3701,38.7
"D",3702,37.8
"D",3703,41.400000000000006
"D",3704,37.8
"D",3705,30.599999999999998
"D",3706,29.700000000000003
"D",3707,31.5
"D",3708,33.3
"D",3709,33.3
"D",3710,34.2
"D",3711,29.700000000000003
"D",3712,29.700000000000003
