EventType,Rate
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",2.7
"D",11.7
"D",13.5
"D",17.1
"D",19.799999999999997
"D",23.4
"D",23.4
"D",28.799999999999997
"D",33.3
"D",39.599999999999994
"D",40.5
"D",34.2
"D",35.099999999999994
"D",34.2
"D",37.8
"D",39.599999999999994
"D",43.2
"D",45.0
"D",46.8
"D",42.3
"D",41.400000000000006
"D",42.0
"D",41.400000000000006
"D",39.900000000000006
"D",36.900000000000006
"D",39.599999999999994
"D",38.099999999999994
"D",34.5
"D",32.099999999999994
"D",36.900000000000006
"D",36.0
"D",37.8
"D",33.3
"D",32.7
"D",34.2
"D",31.5
"D",31.5
"D",32.400000000000006
"D",33.3
"D",33.3
"D",36.0
"D",38.7
"D",43.2
"D",47.7
"D",45.900000000000006
"D",47.7
"D",49.5
"D",47.7
"D",45.0
"D",45.0
"D",45.0
"D",45.0
"D",42.3
"D",36.0
"D",36.900000000000006
"D",32.400000000000006
"D",31.5
"D",36.900000000000006
"D",37.8
"D",35.099999999999994
"D",34.2
"D",36.0
"D",38.7
"D",43.2
"D",43.2
"D",42.3
"D",40.5
"D",41.400000000000006
"D",40.5
"D",43.2
"D",45.900000000000006
"D",43.2
"D",41.400000000000006
"D",40.5
"D",41.400000000000006
"D",41.400000000000006
"D",42.3
"D",36.900000000000006
"D",37.8
"D",38.7
"D",35.099999999999994
"D",36.900000000000006
"D",38.7
"D",41.400000000000006
"D",43.2
